Date,Species,Longitude,Latitude
2007-05-29,CULEX PIPIENS/RESTUANS,-87.800991,41.95469
2007-05-29,CULEX RESTUANS,-87.800991,41.95469
2007-05-29,CULEX RESTUANS,-87.769279,41.994991
2007-05-29,CULEX PIPIENS/RESTUANS,-87.824812,41.974089
2007-05-29,CULEX RESTUANS,-87.824812,41.974089
2007-05-29,CULEX PIPIENS/RESTUANS,-87.795585,41.999128999999996
2007-05-29,CULEX RESTUANS,-87.666455,41.9216
2007-05-29,CULEX RESTUANS,-87.65449100000001,41.891118
2007-05-29,CULEX PIPIENS/RESTUANS,-87.654224,41.867108
2007-05-29,CULEX RESTUANS,-87.654224,41.867108
2007-05-29,CULEX RESTUANS,-87.655232,41.896282
2007-05-29,CULEX PIPIENS/RESTUANS,-87.694259,41.919343
2007-05-29,CULEX PIPIENS/RESTUANS,-87.632085,41.921965
2007-05-29,CULEX RESTUANS,-87.632085,41.921965
2007-05-29,CULEX PIPIENS/RESTUANS,-87.676709,41.688324
2007-05-29,CULEX RESTUANS,-87.676709,41.688324
2007-05-29,CULEX RESTUANS,-87.64886,41.862292
2007-05-29,CULEX RESTUANS,-87.666014,41.720848
2007-05-29,CULEX RESTUANS,-87.677512,41.731922
2007-05-29,CULEX PIPIENS,-87.677512,41.731922
2007-05-29,CULEX PIPIENS/RESTUANS,-87.61156,41.891126
2007-05-29,CULEX RESTUANS,-87.61156,41.891126
2007-05-29,CULEX PIPIENS/RESTUANS,-87.68776899999999,42.01743
2007-05-29,CULEX RESTUANS,-87.760886,41.907645
2007-05-29,CULEX RESTUANS,-87.649642,41.732984
2007-06-05,CULEX PIPIENS/RESTUANS,-87.800991,41.95469
2007-06-05,CULEX RESTUANS,-87.800991,41.95469
2007-06-05,CULEX PIPIENS,-87.800991,41.95469
2007-06-05,CULEX PIPIENS/RESTUANS,-87.824812,41.974089
2007-06-05,CULEX RESTUANS,-87.824812,41.974089
2007-06-05,CULEX PIPIENS/RESTUANS,-87.795585,41.999128999999996
2007-06-05,CULEX RESTUANS,-87.795585,41.999128999999996
2007-06-05,CULEX RESTUANS,-87.812827,41.981964000000005
2007-06-05,CULEX RESTUANS,-87.832763,41.944869
2007-06-05,CULEX RESTUANS,-87.81150600000001,42.011601
2007-06-05,CULEX RESTUANS,-87.750938,41.979243
2007-06-05,CULEX PIPIENS/RESTUANS,-87.776792,41.953067
2007-06-05,CULEX RESTUANS,-87.776792,41.953067
2007-06-05,CULEX PIPIENS/RESTUANS,-87.666455,41.9216
2007-06-05,CULEX RESTUANS,-87.666455,41.9216
2007-06-05,CULEX PIPIENS,-87.666455,41.9216
2007-06-05,CULEX RESTUANS,-87.65449100000001,41.891118
2007-06-05,CULEX PIPIENS/RESTUANS,-87.654224,41.867108
2007-06-05,CULEX RESTUANS,-87.654224,41.867108
2007-06-05,CULEX PIPIENS,-87.654224,41.867108
2007-06-05,CULEX RESTUANS,-87.655232,41.896282
2007-06-05,CULEX PIPIENS/RESTUANS,-87.694259,41.919343
2007-06-05,CULEX RESTUANS,-87.694259,41.919343
2007-06-05,CULEX RESTUANS,-87.632085,41.921965
2007-06-05,CULEX RESTUANS,-87.676709,41.688324
2007-06-05,CULEX PIPIENS/RESTUANS,-87.666014,41.720848
2007-06-05,CULEX PIPIENS/RESTUANS,-87.677512,41.731922
2007-06-05,CULEX RESTUANS,-87.677512,41.731922
2007-06-05,CULEX PIPIENS,-87.677512,41.731922
2007-06-05,CULEX RESTUANS,-87.760886,41.907645
2007-06-05,CULEX RESTUANS,-87.649642,41.732984
2007-06-05,CULEX RESTUANS,-87.69845699999999,41.94983
2007-06-05,CULEX RESTUANS,-87.689778,41.986921
2007-06-05,CULEX PIPIENS/RESTUANS,-87.763416,41.801497999999995
2007-06-05,CULEX RESTUANS,-87.701431,41.906638
2007-06-05,CULEX RESTUANS,-87.64997,41.723195000000004
2007-06-05,CULEX PIPIENS/RESTUANS,-87.666901,41.868077
2007-06-05,CULEX RESTUANS,-87.666901,41.868077
2007-06-05,CULEX PIPIENS/RESTUANS,-87.627561,41.869215999999994
2007-06-05,CULEX PIPIENS/RESTUANS,-87.72460799999999,41.662014
2007-06-05,CULEX RESTUANS,-87.72460799999999,41.662014
2007-06-05,CULEX PIPIENS,-87.72460799999999,41.662014
2007-06-05,CULEX PIPIENS/RESTUANS,-87.76007,41.961743
2007-06-05,CULEX RESTUANS,-87.76007,41.961743
2007-06-05,CULEX RESTUANS,-87.629798,41.878114000000004
2007-06-05,CULEX PIPIENS/RESTUANS,-87.702575,41.958271
2007-06-05,CULEX RESTUANS,-87.702575,41.958271
2007-06-05,CULEX RESTUANS,-87.700117,41.932094
2007-06-05,CULEX PIPIENS/RESTUANS,-87.667736,41.994469
2007-06-05,CULEX RESTUANS,-87.675919,42.006858
2007-06-05,CULEX PIPIENS/RESTUANS,-87.800515,41.916265
2007-06-05,CULEX RESTUANS,-87.800515,41.916265
2007-06-05,CULEX RESTUANS,-87.716277,41.846075
2007-06-05,CULEX RESTUANS,-87.752329,41.918704999999996
2007-06-05,CULEX PIPIENS/RESTUANS,-87.707973,41.682587
2007-06-05,CULEX RESTUANS,-87.707973,41.682587
2007-06-05,CULEX PIPIENS/RESTUANS,-87.61425799999999,41.725516999999996
2007-06-05,CULEX PIPIENS/RESTUANS,-87.730698,41.948167
2007-06-05,CULEX RESTUANS,-87.730698,41.948167
2007-06-05,CULEX RESTUANS,-87.69181,41.963976
2007-06-26,CULEX PIPIENS/RESTUANS,-87.800991,41.95469
2007-06-26,CULEX RESTUANS,-87.800991,41.95469
2007-06-26,CULEX SALINARIUS,-87.800991,41.95469
2007-06-26,CULEX PIPIENS/RESTUANS,-87.769279,41.994991
2007-06-26,CULEX RESTUANS,-87.769279,41.994991
2007-06-26,CULEX RESTUANS,-87.824812,41.974089
2007-06-26,CULEX PIPIENS/RESTUANS,-87.795585,41.999128999999996
2007-06-26,CULEX RESTUANS,-87.795585,41.999128999999996
2007-06-26,CULEX PIPIENS/RESTUANS,-87.832763,41.944869
2007-06-26,CULEX RESTUANS,-87.832763,41.944869
2007-06-26,CULEX PIPIENS/RESTUANS,-87.81150600000001,42.011601
2007-06-26,CULEX RESTUANS,-87.81150600000001,42.011601
2007-06-26,CULEX PIPIENS/RESTUANS,-87.750938,41.979243
2007-06-26,CULEX RESTUANS,-87.776792,41.953067
2007-06-26,CULEX RESTUANS,-87.757639,41.964242
2007-06-26,CULEX PIPIENS/RESTUANS,-87.797127,41.990284
2007-06-26,CULEX RESTUANS,-87.797127,41.990284
2007-06-26,CULEX RESTUANS,-87.77792099999999,42.008314
2007-06-26,CULEX PIPIENS/RESTUANS,-87.747113,41.991429
2007-06-26,CULEX PIPIENS/RESTUANS,-87.666455,41.9216
2007-06-26,CULEX RESTUANS,-87.666455,41.9216
2007-06-26,CULEX PIPIENS/RESTUANS,-87.65449100000001,41.891118
2007-06-26,CULEX RESTUANS,-87.65449100000001,41.891118
2007-06-26,CULEX PIPIENS/RESTUANS,-87.654224,41.867108
2007-06-26,CULEX RESTUANS,-87.655232,41.896282
2007-06-26,CULEX RESTUANS,-87.694259,41.919343
2007-06-26,CULEX PIPIENS/RESTUANS,-87.676709,41.688324
2007-06-26,CULEX PIPIENS/RESTUANS,-87.676709,41.688324
2007-06-26,CULEX RESTUANS,-87.676709,41.688324
2007-06-26,CULEX RESTUANS,-87.677512,41.731922
2007-06-26,CULEX PIPIENS/RESTUANS,-87.61156,41.891126
2007-06-26,CULEX RESTUANS,-87.61156,41.891126
2007-06-26,CULEX PIPIENS/RESTUANS,-87.68776899999999,42.01743
2007-06-26,CULEX RESTUANS,-87.68776899999999,42.01743
2007-06-26,CULEX RESTUANS,-87.69845699999999,41.94983
2007-06-26,CULEX PIPIENS/RESTUANS,-87.689778,41.986921
2007-06-26,CULEX RESTUANS,-87.689778,41.986921
2007-06-26,CULEX PIPIENS/RESTUANS,-87.701431,41.906638
2007-06-26,CULEX RESTUANS,-87.701431,41.906638
2007-06-26,CULEX PIPIENS/RESTUANS,-87.666901,41.868077
2007-06-26,CULEX RESTUANS,-87.666901,41.868077
2007-06-26,CULEX PIPIENS,-87.666901,41.868077
2007-06-26,CULEX PIPIENS/RESTUANS,-87.72460799999999,41.662014
2007-06-26,CULEX RESTUANS,-87.72460799999999,41.662014
2007-06-26,CULEX PIPIENS,-87.72460799999999,41.662014
2007-06-26,CULEX PIPIENS/RESTUANS,-87.76007,41.961743
2007-06-26,CULEX RESTUANS,-87.76007,41.961743
2007-06-26,CULEX RESTUANS,-87.629798,41.878114000000004
2007-06-26,CULEX RESTUANS,-87.702575,41.958271
2007-06-26,CULEX RESTUANS,-87.700117,41.932094
2007-06-26,CULEX RESTUANS,-87.675919,42.006858
2007-06-26,CULEX PIPIENS/RESTUANS,-87.800515,41.916265
2007-06-26,CULEX RESTUANS,-87.800515,41.916265
2007-06-26,CULEX PIPIENS/RESTUANS,-87.707973,41.682587
2007-06-26,CULEX RESTUANS,-87.707973,41.682587
2007-06-26,CULEX RESTUANS,-87.69181,41.963976
2007-06-26,CULEX PIPIENS/RESTUANS,-87.733974,41.953705
2007-06-26,CULEX RESTUANS,-87.686763,41.843810999999995
2007-06-26,CULEX RESTUANS,-87.79518,41.921177
2007-06-26,CULEX PIPIENS/RESTUANS,-87.719887,41.852652
2007-06-26,CULEX RESTUANS,-87.719887,41.852652
2007-06-26,CULEX RESTUANS,-87.694991,41.857402
2007-06-26,CULEX PIPIENS/RESTUANS,-87.696269,41.868142
2007-06-26,CULEX RESTUANS,-87.696269,41.868142
2007-06-26,CULEX PIPIENS/RESTUANS,-87.656913,41.846283
2007-06-26,CULEX RESTUANS,-87.648064,41.721474
2007-06-26,CULEX PIPIENS,-87.69629300000001,41.869107
2007-06-26,CULEX PIPIENS/RESTUANS,-87.675088,41.719059
2007-06-26,CULEX RESTUANS,-87.675088,41.719059
2007-06-26,CULEX RESTUANS,-87.674677,41.966986999999996
2007-06-29,CULEX PIPIENS/RESTUANS,-87.800991,41.95469
2007-06-29,CULEX PIPIENS/RESTUANS,-87.824812,41.974089
2007-06-29,CULEX RESTUANS,-87.824812,41.974089
2007-06-29,CULEX RESTUANS,-87.795585,41.999128999999996
2007-06-29,CULEX PIPIENS/RESTUANS,-87.81150600000001,42.011601
2007-06-29,CULEX RESTUANS,-87.776792,41.953067
2007-06-29,CULEX RESTUANS,-87.797127,41.990284
2007-06-29,CULEX PIPIENS/RESTUANS,-87.747113,41.991429
2007-06-29,CULEX RESTUANS,-87.787992,41.970248
2007-06-29,CULEX PIPIENS/RESTUANS,-87.794896,41.94016
2007-06-29,CULEX RESTUANS,-87.65449100000001,41.891118
2007-06-29,CULEX PIPIENS/RESTUANS,-87.632085,41.921965
2007-06-29,CULEX RESTUANS,-87.676709,41.688324
2007-06-29,CULEX PIPIENS,-87.676709,41.688324
2007-06-29,CULEX PIPIENS/RESTUANS,-87.64886,41.862292
2007-06-29,CULEX RESTUANS,-87.677512,41.731922
2007-06-29,CULEX PIPIENS/RESTUANS,-87.68776899999999,42.01743
2007-06-29,CULEX RESTUANS,-87.68776899999999,42.01743
2007-06-29,CULEX RESTUANS,-87.760886,41.907645
2007-06-29,CULEX PIPIENS/RESTUANS,-87.689778,41.986921
2007-06-29,CULEX RESTUANS,-87.689778,41.986921
2007-06-29,CULEX PIPIENS,-87.763416,41.801497999999995
2007-06-29,CULEX RESTUANS,-87.64997,41.723195000000004
2007-06-29,CULEX PIPIENS/RESTUANS,-87.666901,41.868077
2007-06-29,CULEX RESTUANS,-87.666901,41.868077
2007-06-29,CULEX PIPIENS,-87.666901,41.868077
2007-06-29,CULEX RESTUANS,-87.72460799999999,41.662014
2007-06-29,CULEX RESTUANS,-87.76007,41.961743
2007-06-29,CULEX RESTUANS,-87.629798,41.878114000000004
2007-06-29,CULEX RESTUANS,-87.702575,41.958271
2007-06-29,CULEX RESTUANS,-87.675919,42.006858
2007-06-29,CULEX PIPIENS/RESTUANS,-87.800515,41.916265
2007-06-29,CULEX RESTUANS,-87.800515,41.916265
2007-06-29,CULEX RESTUANS,-87.707973,41.682587
2007-06-29,CULEX RESTUANS,-87.730698,41.948167
2007-06-29,CULEX PIPIENS/RESTUANS,-87.694991,41.857402
2007-06-29,CULEX RESTUANS,-87.694991,41.857402
2007-06-29,CULEX PIPIENS/RESTUANS,-87.648064,41.721474
2007-06-29,CULEX PIPIENS,-87.648064,41.721474
2007-06-29,CULEX PIPIENS/RESTUANS,-87.785288,41.923738
2007-06-29,CULEX RESTUANS,-87.66214000000001,42.010412
2007-06-29,CULEX PIPIENS/RESTUANS,-87.716788,41.899229999999996
2007-06-29,CULEX RESTUANS,-87.716788,41.899229999999996
2007-06-29,CULEX PIPIENS/RESTUANS,-87.598865,41.692555
2007-06-29,CULEX RESTUANS,-87.598865,41.692555
2007-06-29,CULEX PIPIENS/RESTUANS,-87.68826700000001,41.903002
2007-07-02,CULEX PIPIENS/RESTUANS,-87.800991,41.95469
2007-07-02,CULEX RESTUANS,-87.800991,41.95469
2007-07-02,CULEX PIPIENS/RESTUANS,-87.769279,41.994991
2007-07-02,CULEX RESTUANS,-87.769279,41.994991
2007-07-02,CULEX PIPIENS/RESTUANS,-87.824812,41.974089
2007-07-02,CULEX RESTUANS,-87.812827,41.981964000000005
2007-07-02,CULEX PIPIENS/RESTUANS,-87.832763,41.944869
2007-07-02,CULEX RESTUANS,-87.81150600000001,42.011601
2007-07-02,CULEX PIPIENS/RESTUANS,-87.776792,41.953067
2007-07-02,CULEX RESTUANS,-87.776792,41.953067
2007-07-02,CULEX RESTUANS,-87.757639,41.964242
2007-07-02,CULEX RESTUANS,-87.797127,41.990284
2007-07-02,CULEX PIPIENS/RESTUANS,-87.77792099999999,42.008314
2007-07-02,CULEX RESTUANS,-87.77792099999999,42.008314
2007-07-02,CULEX SALINARIUS,-87.747113,41.991429
2007-07-02,CULEX PIPIENS/RESTUANS,-87.787992,41.970248
2007-07-02,CULEX RESTUANS,-87.787992,41.970248
2007-07-02,CULEX PIPIENS/RESTUANS,-87.777189,41.960615999999995
2007-07-02,CULEX PIPIENS/RESTUANS,-87.666455,41.9216
2007-07-02,CULEX RESTUANS,-87.666455,41.9216
2007-07-02,CULEX PIPIENS/RESTUANS,-87.65449100000001,41.891118
2007-07-02,CULEX RESTUANS,-87.65449100000001,41.891118
2007-07-02,CULEX RESTUANS,-87.654224,41.867108
2007-07-02,CULEX PIPIENS/RESTUANS,-87.632085,41.921965
2007-07-02,CULEX RESTUANS,-87.632085,41.921965
2007-07-02,CULEX PIPIENS/RESTUANS,-87.676709,41.688324
2007-07-02,CULEX RESTUANS,-87.676709,41.688324
2007-07-02,CULEX PIPIENS/RESTUANS,-87.677512,41.731922
2007-07-02,CULEX RESTUANS,-87.677512,41.731922
2007-07-02,CULEX PIPIENS,-87.677512,41.731922
2007-07-02,CULEX PIPIENS/RESTUANS,-87.61156,41.891126
2007-07-02,CULEX RESTUANS,-87.61156,41.891126
2007-07-02,CULEX RESTUANS,-87.68776899999999,42.01743
2007-07-02,CULEX RESTUANS,-87.69845699999999,41.94983
2007-07-02,CULEX PIPIENS/RESTUANS,-87.689778,41.986921
2007-07-02,CULEX RESTUANS,-87.689778,41.986921
2007-07-02,CULEX PIPIENS,-87.689778,41.986921
2007-07-02,CULEX PIPIENS/RESTUANS,-87.64997,41.723195000000004
2007-07-02,CULEX PIPIENS/RESTUANS,-87.666901,41.868077
2007-07-02,CULEX RESTUANS,-87.666901,41.868077
2007-07-02,CULEX RESTUANS,-87.627561,41.869215999999994
2007-07-02,CULEX PIPIENS/RESTUANS,-87.72460799999999,41.662014
2007-07-02,CULEX RESTUANS,-87.72460799999999,41.662014
2007-07-02,CULEX SALINARIUS,-87.72460799999999,41.662014
2007-07-02,CULEX SALINARIUS,-87.629798,41.878114000000004
2007-07-02,CULEX RESTUANS,-87.702575,41.958271
2007-07-02,CULEX PIPIENS/RESTUANS,-87.667736,41.994469
2007-07-02,CULEX RESTUANS,-87.667736,41.994469
